episode,Arco,name,year,total_votes,average_rating
1,EastBlue,I'm Luffy! The Man Who Will Become the Pirate King!,28/10/1999,647,7.6
2,EastBlue,The Great Swordsman Appears! Pirate Hunter Roronoa Zoro,17/11/1999,473,7.8
3,EastBlue,Morgan vs. Luffy! Who's This Beautiful Young Girl?,24/11/1999,428,7.7
4,EastBlue,Luffy's Past! The Red-haired Shanks Appears!,08/12/1999,449,8.1
5,EastBlue,Fear Mysterious Power! Pirate Clown Captain Buggy!,15/12/1999,370,7.5
6,EastBlue,Desperate Situation! Beast Tamer Mohji vs. Luffy!,29/12/1999,364,7.7
7,EastBlue,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,29/12/1999,344,7.7
8,EastBlue,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,29/12/1999,335,7.7
9,EastBlue,Seigi no usotsuki? Kyaputen Usoppu,12/01/2000,327,7.3
10,EastBlue,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,19/01/2000,314,7.5
11,EastBlue,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,26/01/2000,310,7.4
12,EastBlue,Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!,02/02/2000,303,7.8
13,EastBlue,Kyoufu no futarigumi! Nyâban kyoudai vs Zoro,09/02/2000,295,7.8
14,EastBlue,Rufi fukkatsu! Kaya ojousama no kesshi no taikou,16/02/2000,292,7.7
15,EastBlue,Kuro o taose! Otoko Usoppu namida no ketsui!,23/02/2000,286,7.5
16,EastBlue,Kaya o mamore! Usoppu kaizokudan daikatsuyaku!,01/03/2000,286,7.7
17,EastBlue,Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!,08/03/2000,296,8.1
18,EastBlue,Anta ga chunjuu! Gaimon to kimyou na nakama,15/03/2000,278,7.1
19,EastBlue,Santouryuu no kako! Zoro to Kuina no chikai!,22/03/2000,324,8.5
20,EastBlue,Meibutsu kokku! Kaijou resutoran no Sanji,29/03/2000,279,7.7
21,EastBlue,Manukarezaru kyaku! Sanji no meshi to Gin on,05/04/2000,267,7.6
22,EastBlue,Saikyou no kaizoku kantai! Teitoku Don Kurîku,12/04/2000,260,7.6
23,EastBlue,Mamore Baratie! Daikaizoku akaashi no Zefu,19/04/2000,257,7.7
24,EastBlue,Tama no me no Mihôku! Kenzoku Zoro umi ni chiru,26/04/2000,340,8.7
25,EastBlue,Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru,03/05/2000,256,7.6
26,EastBlue,Zefu to Sanji no yume Maboroshi no ôru burû,10/05/2000,274,8.2
27,EastBlue,Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin,17/05/2000,257,7.6
28,EastBlue,Shinaneeyo! Gekitou Rufi vs Kurîku!,24/05/2000,252,7.7
29,EastBlue,Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!,31/05/2000,249,7.8
30,EastBlue,Tabidachi! Umi no kokku wa Rufi to tomoni,07/06/2000,268,8.1
31,EastBlue,Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!,14/06/2000,237,7.6
32,EastBlue,Cocoyashi Mura no Majo! Arlong no Onna Kanbu,21/06/2000,236,7.7
33,EastBlue,Usopp Shisu?! Luffy Jouriku wa Mada?,28/06/2000,255,7.8
34,EastBlue,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,05/07/2000,250,7.4
35,EastBlue,Himerareta Kako! Onna Senshi Bell-mere!,12/07/2000,254,7.9
36,EastBlue,Ikinuke! Haha Bellemere to Nami no Kizuna!,19/07/2000,277,8.3
37,EastBlue,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,19/07/2000,324,8.5
38,EastBlue,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,26/07/2000,254,8.2
39,EastBlue,Luffy Suibotsu! Zoro vs Tako no Hacchan,02/08/2000,249,8.0
40,EastBlue,Hokoritakaki Senshi! Gekitou Sanji to Usopp,09/08/2000,248,8.0
41,EastBlue,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,16/08/2000,249,8.0
42,EastBlue,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,23/08/2000,247,7.9
43,EastBlue,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,30/08/2000,281,8.2
44,EastBlue,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,06/09/2000,245,7.7
45,EastBlue,Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru,13/09/2000,235,7.6
46,EastBlue,Mugiwara o Oe! Chiisana Buggy no Daibouken,20/09/2000,245,6.3
47,EastBlue,Omachikane! Aa Fukkatsu no Buggy Senchou!,27/09/2000,249,6.3
48,EastBlue,Hajimari to Owari no Machi: Loguetown Jouriku,27/09/2000,241,7.8
49,EastBlue,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,11/10/2000,253,7.9
50,EastBlue,Usopp Tai Kozure no Daddy: Mahiru no Kettou,25/10/2000,233,7.3
51,EastBlue,Honoo no Ryouri Battle? Sanji VS Bijin Chef,08/11/2000,225,6.8
52,EastBlue,Buggy no Revenge! Shokeidai de Warau Otoko!,22/11/2000,236,8.1
53,EastBlue,Densetsu wa Hajimatta! Mezase Grand Line,22/11/2000,243,8.2
54,EastBlue,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,29/11/2000,213,7.1
55,EastBlue,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,06/12/2000,211,6.8
56,EastBlue,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,13/12/2000,210,6.7
57,EastBlue,Zekkai no Kotou! Densetsu no Lost Island,20/12/2000,207,6.6
58,EastBlue,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,27/12/2000,201,6.8
59,EastBlue,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,03/01/2001,199,7.1
60,EastBlue,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,10/01/2001,195,7.2
61,EastBlue,Ikari no Kecchaku! Red Line o Norikoero!,17/01/2001,199,7.6
62,Alabasta,Saisho no Toride? Kyodai Kujira Laboon Arawaru,24/01/2001,215,7.7
63,Alabasta,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,31/01/2001,216,7.4
64,Alabasta,Kaizoku Kangei no Machi? Whiskey Peak Jouriku,07/02/2001,206,7.7
65,Alabasta,Sakuretsu Santouryuu! Zoro VS Baroque Works!,14/02/2001,214,8.1
66,Alabasta,Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!,21/02/2001,214,7.9
67,Alabasta,Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou,21/02/2001,203,7.7
68,Alabasta,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,28/02/2001,205,6.7
69,Alabasta,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,07/03/2001,202,6.8
70,Alabasta,Taiko no Shima! Little Garden ni Hisomu Kage!,14/03/2001,203,7.3
71,Alabasta,Dekkai Kettou! Kyojin Dorry to Brogy,21/03/2001,204,7.5
72,Alabasta,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,15/04/2001,202,7.3
73,Alabasta,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,15/04/2001,200,7.4
74,Alabasta,Ma no Candle! Munen no Namida to Ikari no Namida,22/04/2001,202,7.5
75,Alabasta,Luffy o Osou Maryoku! Colors Trap,29/04/2001,197,7.7
76,Alabasta,Iza Hangeki! Usopp no Kiten to Kaenboshi!,13/05/2001,203,7.6
77,Alabasta,Saraba Kyojin no Shima! Arabasuta o Mezase,20/05/2001,200,7.5
78,Alabasta,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,27/05/2001,203,7.3
79,Alabasta,Kishuu! Bliking Gou to Blik no Wapol,03/06/2001,196,7.6
80,Alabasta,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,17/06/2001,195,7.7
81,Alabasta,Happy kai? Majo to Yobareta Isha!,24/06/2001,189,7.7
82,Alabasta,Dolton no Kakugo! Wapol Gundan Shima ni Jouriku,15/07/2001,191,7.6
83,Alabasta,Yuki no Sumu Shima! Drum-Rocky o Nobore!,12/08/2001,200,7.7
84,Alabasta,Tonakai wa Aoppana! Chopper no Himitsu,19/08/2001,200,7.7
85,Alabasta,Hamidashi Mono no Yume! Yabuisha Hiluluk!,19/08/2001,211,8.1
86,Alabasta,Hiluluk no Sakura to Uketsugareyuku Ishi!,26/08/2001,251,8.6
87,Alabasta,Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!,02/09/2001,194,7.9
88,Alabasta,Zoan-kei Akuma no Mi! Chopper Nanadan Henkei,09/09/2001,193,7.7
89,Alabasta,Oukoku no Shihai Owaru Toki! Shinnen no Hata wa Eien ni,16/09/2001,190,7.7
90,Alabasta,Hiluluk no Sakura! Drum Rocky no Kiseki,07/10/2001,211,8.3
91,Alabasta,Sayonara Drum-tou! Boku wa Umi e Deru!,07/10/2001,193,7.9
92,Alabasta,Arabasta no Eiyuu to Senjou no Ballerina,21/10/2001,193,7.6
93,Alabasta,Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun,28/10/2001,192,7.2
94,Alabasta,Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace,04/11/2001,217,8.4
95,Alabasta,Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna,11/11/2001,209,8.1
96,Alabasta,Midori no Machi Erumaru to Kung Fu Jugon!,18/11/2001,195,7.3
97,Alabasta,Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono,25/11/2001,189,7.4
98,Alabasta,Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi,02/12/2001,185,7.2
99,Alabasta,Nisemono no Iji! Kokoro no Hanrangun Kamyu!,09/12/2001,180,7.1
100,Alabasta,Hanrangun Senshi Kouza! Vivi ni Chikatta Yume!,09/12/2001,181,7.6
101,Alabasta,Kagerou no Kettou! Ace vs Otoko Scorpion,16/12/2001,177,6.8
102,Alabasta,Iseki to Mayoigo! Vivi to Nakama to Kuni no Katachi,23/12/2001,168,7.1
103,Alabasta,Spiders Cafe ni 8-ji Teki Kanbu Shuugou,06/01/2001,179,7.5
104,Alabasta,Luffy Tai Vivi! Nakama ni Kakeru Namida no Chikai,12/01/2001,180,7.9
105,Alabasta,Alabasta Sensen! Yume no Machi Rainbase,20/01/2001,175,7.9
106,Alabasta,Zettai Zetsumei no Wana! Rain Dinners Totsunyuu,27/01/2001,181,8.1
107,Alabasta,Utopia Sakusen Hatsudou! Ugokidashita Uneri,03/02/2001,175,7.9
108,Alabasta,Kyoufu no Bananawani to Mr. Prince,10/02/2001,180,8.1
109,Alabasta,Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!,17/02/2001,187,8.2
110,Alabasta,Nasake Muyou no Shitou! Luffy vs Crocodile,24/02/2001,206,8.4
111,Alabasta,Kiseki e no Shissou! Arabasta Doubutsu Land,03/03/2001,182,7.8
112,Alabasta,Hanrangun Tai Kokuougun! Kessen wa Alubarna!,10/03/2001,188,8.0
113,Alabasta,Nageki no Alubarna! Gekitou Carue Taichou!,17/03/2001,181,7.8
114,Alabasta,Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai,24/03/2001,182,7.9
115,Alabasta,Honjitsu Daikoukai! Mane-Mane Montage!,31/03/2001,189,8.0
116,Alabasta,Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou,07/04/2001,176,7.9
117,Alabasta,Nami no Senpuu Chuuihou! Clima Takt Sakuretsu,14/04/2001,181,8.0
118,Alabasta,Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton,21/04/2001,176,7.9
119,Alabasta,Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu,28/04/2001,213,8.5
120,Alabasta,Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata,05/05/2001,177,7.9
121,Alabasta,Vivi no Koe no Yukue! Hero wa Maiorita!,12/05/2001,182,8.2
122,Alabasta,Suna Wani to Mizu Luffy! Kettou Dai 2 Round,19/05/2001,185,8.4
123,Alabasta,Wanippoi! Ouke no Haka e Hashire Luffy!,26/05/2001,180,8.2
124,Alabasta,Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi,02/06/2001,179,8.1
125,Alabasta,Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell,09/06/2001,195,8.5
126,Alabasta,Koeteiku! Arabasta ni Ame ga Furu!,16/06/2001,302,9.0
127,Alabasta,Buki yo Saraba! Kaizoku to Ikutsuka no Seigi,23/06/2001,178,8.0
128,Alabasta,Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!,30/06/2001,179,8.0
129,Alabasta,Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!,14/07/2001,213,8.5
130,Alabasta,Kiken na Kaori! Shichininme wa Nico Robin!,21/07/2001,194,8.3
131,Alabasta,Hajimete no Kranke! Rumble Ball Hiwa,28/07/2001,161,7.0
